dataset,test_mae,test_mse,test_rmse,final_train_loss,training_time,script_training_time
1,0.028549941,0.006277917,0.0792333,0.0012972102206396429,149.81746125221252,154.5348563194275
2,0.03312141,0.009781021,0.098899044,0.001809859659988433,197.07644534111023,202.9392111301422
3,0.029453697,0.014675001,0.12114042,0.0015178193380052107,244.54420161247253,252.05870175361633
4,0.0350845,0.0038081915,0.061710548,0.0021043164900038393,206.5933928489685,212.0761833190918
5,0.040832844,0.003969802,0.063006364,0.002501880584627782,148.70604801177979,153.06079578399658
6,0.032923006,0.005969467,0.07726233,0.001845047881361097,196.97507309913635,202.2513484954834
7,0.050092086,0.036162734,0.19016501,0.003878957212069317,148.48984336853027,152.69242358207703
8,0.030288845,0.0023642622,0.04862368,0.0015654433488012536,147.84286284446716,152.14235520362854
9,0.029145269,0.008460549,0.09198124,0.0014085413981229067,197.60639572143555,203.12836909294128
10,0.03271024,0.0015677364,0.03959465,0.0016615809995288913,159.67575907707214,165.54078149795532
11,0.05385362,0.02631165,0.16220866,0.004601939777402501,175.49017667770386,179.67218279838562
12,0.041276656,0.0043146648,0.06568611,0.002698273127898574,280.64212918281555,289.0649342536926
